FISH SPECIES - TRIBOT 2018,FISH SPECIES - LANGLOIS 2022,EQUIVALENT,QUANTITY,TRIBOT AESTHETIC VALUE,LANGLIOS AESTHETIC VALUE,AVERAGE AESTHETIC VALUE,NOTES
Acanthurus tristis – Indian Ocean Mimic Surgeonfish,Siganus luridus - Dusky Rabbitfish,Dusky Rabbitfish,1,1371.509794,1446,1408.754897,
Arothron nigropunctatus – Dog-faced Puffer,Arothron nigropunctatus - Dog-faced Puffer,Pufferfish,1,1369.430488,1566,1467.715244,
Arothron stellatus – Starry Puffer,Diodon hystrix - Spotfin Porcupinefish,Porcupinefsh,2,1556.809611,1533,1544.904806,
Aulostomus chinensis – Bluespotted Cornetfish,Sphyraena putnamae - Chevron Barracuda,Barracuda,1,1321.839191,1298,1309.919596,
Caesio lunaris – Lunar Fusilier,Selaroides leptolepis - Yellowstripe Scad,Yellow stripe trevally,2,1284.752874,1302,1293.376437,
Caesio xanthonota – Yellowback Fusilier,Caesio xanthonota - Yellowback Fusilier,Fusilier,1,1437.193658,1490,1463.596829,
Caranx melampygus – Bluefin Trevally,Carangoides bajad - Orange-spotted Trevally,Trevally,2,1373.527607,1466,1419.763804,
Chaetodon trifascialis – Chevron Butterflyfish,Chaetodon octofasciatus - Eightband Butterflyfish,Banded Butterflyfish,1,1610.986121,1699,1654.993061,
Chromis nigroanalis – Black-anus Chromis,Apogonichthyoides timorensis - Timor Cardinalfish,Cardinalfish ,1,1329.235388,1379,1354.117694,
Ctenochaetus striatus – Striated Surgeonfish,Siganus javus - Java Rabbitfish,Rabbitfish,5,1295.176434,1584,1439.588217,
Dascyllus trimaculatus – Domino Damselfish,Dascyllus trimaculatus - Domino Damselfish,Damselfish,2,1246.353885,1698,1472.176943,
Epinephelus areolatus – Areolate Grouper,Epinephelus corallicola - Coral Grouper,Grouper,8,1436.010914,1433,1434.505457,
Gymnothorax favagineus – Laced Moray,Gymnothorax thyrsoideus - White-edged Moray,Moray Eel,1,1532.579181,1401,1466.789591,
Lutjanus fulviflamma – Blacktail Snapper,Lutjanus russellii - Russel's Snapper,Russel Snapper's,1,1276.15312,1331,1303.57656,
Paraluteres prionurus – Blacksaddle Filefish,Aluterus scriptus - Scribbled Filefish,Filefish,1,1579.873376,1627,1603.436688,
Pterois volitans – Red Lionfish,Scorpaenopsis oxycephala - Tasselled Scorpionfish,Scorpionfish,3,1784.87583,1500,1642.437915,
Sargocentron praslin – Praslin Squirrelfish,Sargocentron rubrum - Redcoat Squirrelfish,Squirrelfish,1,1473.850231,1519,1496.425116,
Scolopsis ghanam – Arabian Monocle Bream,Scolopsis ghanam - Arabian Monocle Bream,Bream,1,1304.878552,1460,1382.439276,
Zanclus cornutus – Moorish Idol,Platax teira - Longfin Batfish,Batfish,6,1876.37843,1640,1758.189215,
Unknown ,Unknown,Unknown Fish,16,1506.198212,1490,1498.099106,Used an average of all aesthetic values given as the UNK
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,