Species_raw,taxon_raw,thb_1,thb_2,thb_3,thb_4,thb_5,thb_6,thb_7,thb_8
Java Rabbitfish,Rabbitfish,NA,100,100,100,100,100,NA,NA
Blacktip Grouper,Grouper,150,120,120,120,NA,NA,NA,NA
Coral Grouper,Grouper,280,250,250,250,300,300,250,300
Giant Grouper,Grouper,250,200,200,200,NA,NA,NA,NA
Batfish,Batfish,150,NA,NA,NA,NA,NA,NA,NA
Yellow stripe Trevally,Yellow-Stripe Trevally,100,100,100,100,NA,NA,NA,NA
Russel snapper,Russel's snapper (Lutjanus rusellii),150,150,150,150,150,150,150,150
Orange spotted trevally,Trevally,200,150,180,180,200,200,200,200
Yellowtail barracuda ,Barracuda,120,NA,NA,NA,NA,NA,NA,NA
Chevron barracuda,Barracuda,120,100,100,100,100,100,100,100
Pickhandle barracuda,Barracuda,150,150,150,150,150,150,150,150
Great barracuda ,Barracuda,150,120,120,120,120,120,120,120